ID,Title,Journal,DOI,included,data_state,primary_available,primary_how,secondary_available,secondary_source,secondary_how,can_access_data,analysis_state,analysis_tool,analysis_available,analysis_how,can_access_analysis
389,Life cycle assessment of deploying sludge minimization with (sulfidogenic-)oxic-settling-anaerobic configurations in sewage-sludge management systems,Bioresource Technology,10.1016/j.biortech.2021.125266,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","the calculation of energy included the directly and indirectly consumed energy, and the energy recovered within the system boundary.  … Wastewater and sludge treatment in wastewater treatment plant …   GHGs and energy consumption data for chemicals used in wastewater and sludge management, and the selection of the transportation vehicle are obtained from Ecoinvent V3","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
390,"Environmental, economic and social impact assessment: Study of bridges in china’s five major economic regions",International Journal of Environmental Research and Public Health,10.3390/ijerph18010122,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","General information about the six bridges is shown in Table 2. All of these bridges have been completed and put into operation. They are the main highway bridges of the cities where they are located. ...  LCIA was analysed by using OpenLCA (Life cycle assessment) 1.10.1, LCCA by the budgetary estimate process, and SILA by OpenLCA1.10.3 (OpenLCA development team, Berlin, Germany) [14]. The three tools are relevant and systematic. The databases used in this study included Ecoinvent [41], Bedec [42], and Product Social Impact Life Cycle Assessment (PSILCA) [43]. See Section 2.1 and Section 2.2 for detailed modelling.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent; various sources,NA,NA,Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
391,Life cycle environmental and economic impact of a food waste recycling-farming system: a case study of organic vegetable farming in Japan,International Journal of Life Cycle Assessment,10.1007/s11367-021-01879-0,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Inventory analysis was performed using foreground data, as explained in Sect. 2.2, and background data, from the Japanese life cycle inventory database IDEA v2.3 with Microsoft Excel 2019. Inventory data included consumptive goods, while durable goods, such as machines and greenhouses, were excluded from the calculation.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,IDEA ,NA,NA,Refer to data availability statement,Excel,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
392,Conceptually integrating a multi-product strategy for the valorization of kitchen waste towards a more sustainable management,Journal of Cleaner Production,10.1016/j.jclepro.2021.127292,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","The background data for the LCA were mainly supported by the Chinese Life Cycle Database (CLCD) and the EcoInvent 3 Database (Zhao et al., 2020). The direct pollutants emission from CHP unit (i.e. CO, NOx and SO2) was mainly consulted from the literature (Li et al., 2017, Li et al., 2017). The material consumption, products and emission of waste oil treatment process were according to Yan (2017); and the emission of vermicomposting in Plant II was according to the literature (Lleó et al., 2013). ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3; CLCD,NA,"Yes, can access, download, and open the file. ","The online platform of Weblca (www.weblca.net) was employed to analyze the data for LCA, ",efootprint,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
393,Application of LCA and LCC in the early stages of wastewater treatment design: A multiple case study of brine effluents,Journal of Cleaner Production,10.1016/j.jclepro.2021.127298,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",Background data was obtained from Ecoinvent v3.2 and primary data was provided in most cases by the technology providers who are partners in the project.,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.2,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Three separate LCA teams used Simapro version 8 software to model the life cycles,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
394,Sustainable energy planning for remote islands and the waste legacy from renewable energy infrastructure deployment,Journal of Cleaner Production,10.1016/j.jclepro.2021.127198,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","For the open ground photovoltaics the ecoinvent 3.5 dataset ‘electricity production, photovoltaic, 570 kWp open ground installation, multi-Si’ was used and for the storage the ecoinvent 3.5 dataset ‘battery production, Li-ion, rechargeable, prismatic‘ was used. … More details on the type and quantity of materials used can be found in Table A1 in the appendices.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,"Direct presentation in the article (e.g., tables)","Yes, can access, download, and open the file. ","A model is built using an LCA software like GaBi v8.7 (Thinkstep A.G., 2019) and the commercial LCI database like ecoinvent v3.5",Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
395,A comparative life cycle assessment on lithium-ion battery: Case study on electric vehicle battery in China considering battery evolution,Waste Management and Research,10.1177/0734242X20966637,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Table 1. Estimation of the composition of 300?kg lithium-ion batteries for electric vehicles. ...  To include all these environmental impact evaluation items in our study, after investigating the resource consumption during LiBs’ manufacturing process, the transportation route of LiBs in each of their life cycle process, and the recycling technology and resource input during waste LiBs’ recycling process, we will input the related information into MiLCA version 2.2, which is an LCA software developed by Japan Environmental Management Association for Industry (JEMAI). On the other hand, the environmental impact intensity database (IDEA) which is equipped in MiLCA version 2.2 was developed by the National Institute of Advanced Industrial Science and Technology and JEMAI","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,IDEA,NA,NA,Refer to data availability statement,MiLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
396,"Evaluating the energy use, economic and environmental sustainability for smoked fish production from life cycle assessment point of view (case study: Guilan Province, Iran)",Environmental Science and Pollution Research,10.1007/s11356-021-14437-w,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Table 2 shows the direct emissions from smoked fish production. Depending on the system boundaries, the sources of use and emissions of the pollutants will be discussed in full or in the life cycle section of the product being determined (Fernández-Tirado et al. 2016).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v2.2,"Direct presentation in the article (e.g., tables)",NA,"The data on smoked fish production for input-output energy and economic were analyzed using Excel software, and LCA and CExD analyses are performed by using SimaPro V 9.0.0.29.",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
397,Sustainability assessment of Construction and Demolition Waste management applied to an Italian case,Waste Management,10.1016/j.wasman.2021.04.031,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3.6,NA,"Yes, can access, download, and open the file. ","The assessment was facilitated with the software EASETECH (Clavreul et al., 2014) and a consequential approach was applied. ",EASETECH,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
398,Environmental and socio-economic performance of different tillage systems in maize grain production: Application of Life Cycle Assessment and Multi-Criteria Decision Making,Journal of Cleaner Production,10.1016/j.jclepro.2020.123792,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",The inventory for different tillage systems is presented in Table S4 and Table S5 in SF. ,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.4,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",LCIA was carried out based on CML-IA baseline method using SimaPro 8.5.2.0 softwa,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
399,"Life cycle sustainability assessment of a light rail transit system: Integration of environmental, economic, and social impacts",Integrated Environmental Assessment and Management,10.1002/ieam.4428,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","The inventory data for the LRTS were collected from the company that manages and operates the urban light rail system in Kayseri (Tables S1 and S2). The service life of the light rail system was assessed as 50 years. The transport of raw materials to the site is assumed to be 25?km. Data for vehicle manufacturing and transportation of raw materials and vehicles were implemented in the analyses by using the Ecoinvent v3. database, SimaPro 8.4 PhD version.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3,NA,"Yes, can access, download, and open the file. ",Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
400,Environmental impact and levelised cost of energy analysis of solar photovoltaic systems in selected asia pacific region: A cradle-to-grave approach,Sustainability (Switzerland),10.3390/su13010396,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Statement:  ""Data Availability Statement  Data is contained within the article.""   LCI is based on the identification and quantification assessment of the field in accordance with the environmental assessment methods [16]. The inventory data primarily include all materials and energy flows between life-cycle phases based on the designed framework [17]. Primary and secondary data were utilised to complete the inventory using the Ecoinvent database on SimaPro software. Data collection and calculations were associated with the functional system [18], emission per square meter (CO2 eq/m2), CO2 equivalent emission per power generation (CO2 eq/kWh) of a photovoltaic system, and capital cost of the system per power generation (USD/kWh).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
401,Benchmarking environmental and economic impacts from the HSR networks considering life cycle perspectives,Environmental Impact Assessment Review,10.1016/j.eiar.2021.106608,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",The datasets generated during and analysed during the current study are available from the corresponding author on reasonable request.,Other: note in comment box,NA,No – there is no data availability statement,N/A,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
402,Improving Life Cycle Economic and Environmental Sustainability of Animal Manure Management in Marginalized Farming Communities through Resource Recovery,Environmental Engineering Science,10.1089/ees.2020.0262,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","The Ecoinvent database (Ecoinvent Centre, 2007) was used to account for background data such as the extraction of raw materials, material processing and production, and upstream transportation impacts. Refer to Table 1 for a summary of lifecycle inventory data collected and the Supplementary Tables S1–S4 to see the detailed life cycle inventory for each scenario.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",SimaPro 9 was used to conduct the LCIA using ReCiPe methods,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
403,Assessing the economic and environmental impact of jasmine rice production: Life cycle assessment and Life Cycle Costs analysis,Journal of Cleaner Production,10.1016/j.jclepro.2021.127079,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Emission factors of input data consisting of all the input materials, energy consumption and all the related and output data (e.g. product, co-product and air pollution) was collected from the life cycle inventory database by Ecoinvent 2.0, Thailand Greenhouse Gas Management Organization (Public Organization) and Thai National Life Cycle Inventory (see Table 1). ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v2.0; Thai National Life Cycle Inventory,"Direct presentation in the article (e.g., tables)",NA,The analysis was performed using openLCA software an open-access program.,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
404,"The environmental and economic benefits of a hybrid hydropower energy recovery and solar energy system (PAT-PV), under varying energy demands in the agricultural sector",Journal of Cleaner Production,10.1016/j.jclepro.2021.127078,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","A breakdown of the energy system components, as well as all materials and processes involved from its manufacturing and maintenance, was collated and included in the assessment (see Table S1 in the supplementary information (S.I.) supporting this paper). The Ecoinvent 3.6 database provided all life cycle impact assessment) data relating to materials used in the system, with the allocation, cut-off by classification system model selected (Ecoinvent, 2019).","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3.6,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
405,Neutrosophic multi-criteria evaluation of sustainable alternatives for the structure of single-family homes,Environmental Impact Assessment Review,10.1016/j.eiar.2021.106572,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",The environmental impact analysis has been carried out using OpenLCA software. Inventory data relevant to the environmental characterization of the different activities that have been evaluated has been gathered from the environmental database Ecoinvent 3.3,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.3,NA,NA,Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
406,Life cycle assessment (LCA) and life cycle costing (LCC) of road drainage systems for sustainability evaluation: Quantifying the contribution of different life cycle phases,Science of the Total Environment,10.1016/j.scitotenv.2021.145937,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",SimaPro 9.0 software package developed by Pre Consultants and the ecoinvent 3.5 (2018) database were used to study life cycle inventory of each material used in the drainage system assets.,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3.5,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
407,LCA and LCC of a chemical recycling process of waste CF-thermoset composites for the production of novel CF-thermoplastic composites. Open loop and closed loop scenarios,Journal of Cleaner Production,10.1016/j.jclepro.2021.127158,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","3.1. Life cycle inventory list   The inventory data are listed in Table 1, Table 2, Table 3, Table 4, Table 5.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,"Direct presentation in the article (e.g., tables)",NA,all available in the SimaPro 9 software used for the evaluation,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
408,Life cycle and economic assessment of sugarcane bagasse valorization to lactic acid,Waste Management,10.1016/j.wasman.2021.02.052,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Data for sugarcane farming (Table C.1) are adapted from literature and include fertilizers, pesticides, fungicides, power, and water (Mandade et al., 2016, Murali and Shastri, 2019). ...  Aspen plus simulation provides inventory for the downstream section. Ecoinvent® 3.3 database (Wernet et al., 2016) is used for life cycle inventory data for inputs such as electricity, diesel, natural gas (boiler fuel), fertilizer, and chemicals (NaOH, H2SO4, CaCO3, and ethanol).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.3,"Direct presentation in the article (e.g., tables)",NA,OpenLCA 1.9 is used to create a product system. ,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
409,Sustainability evaluation of the use of cargo-trams for mixed municipal waste transport in Prague,Waste Management,10.1016/j.wasman.2021.02.053,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","SimaPro version 8.1.1.16, connected to global life cycle inventory (LCI), databases was used as a software tool for the calculation of LCA results. For modeling the environmental impacts of the three system variants, LCA data from SimaPro databases - Ecoinvent 3 (PRé Consultants, 2017) was used as follows:   ... Modified inputs of process TRAM/RER/I U were used for tram production.    Maintenance of the trams was modelled with the help of the process Tram, Maintenance. ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3,"Direct presentation in the article (e.g., tables)",NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
410,"Multi-objective optimization to improve energy, economic and, environmental life cycle assessment in waste-to-energy plant",Waste Management,10.1016/j.wasman.2021.04.042,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Primary data from the plant was used in combination with Ecoinvent database. ... LCI was quantified using the waste incineration life cycle inventory (WILCI), a tool developed based on the incineration sector in France (Beylot et al., 2018, Beylot et al., 2017). This tool was used because it provided a seamless way to define the input, output, as well as the management options for air pollution and ash. Moreover, the results of LCI from WILCI can be modified as an input to perform life cycle impact assessment (LCIA) in OpenLCA software.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent,NA,"Yes, can access, download, and open the file. ",Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
411,Resource and environmental assessment of pyrolysis-based high-value utilization of waste passenger tires,Waste Management,10.1016/j.wasman.2021.03.008,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",The life cycle model was established and evaluated based on SimaPro software. The relevant data sources are described as follows:,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent?,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
412,Harvesting system sustainability in Mediterranean olive cultivation: Other principal cultivar,Science of the Total Environment,10.1016/j.scitotenv.2020.142508,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Table 6. Environmental life cycle impact - LCI (FU 1 h of olive harvesting). …  The background data (diesel and lubricant production, machine production, maintenance and disposal) were retrieved from the Ecoinvent V. 3.4 database","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.4,"Direct presentation in the article (e.g., tables)",NA,the environmental impact data were processed using SimaPro 8.5 softwar,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
413,"Environmental, social and health benefits of alternative renewable energy sources. Case study for household biogas digesters in rural areas",Journal of Cleaner Production,10.1016/j.jclepro.2021.126722,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",2.3. Life cycle inventory   The LPG manufacture data was obtained from the Ecoinvent database v3.0 …  Table 4. List of inputs included in household digester for the entire 10 years lifetime. ,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.0,"Direct presentation in the article (e.g., tables)",NA,"The SimaPro 8.0.5.13 program (PRé consultants, 2015) was used for LCA impact",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
414,"Case study: Effective use of Microphytes in wastewater treatment, profit evaluation, and scale-up life cycle assessment",Journal of Water Process Engineering,10.1016/j.jwpe.2021.102069,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",The life cycle inventory (LCI) for the scale-up system has been elucidated in Table 1.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",No – there is no data availability statement,N/A,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
415,Life Cycle Assessment and Techno-Economic Assessment of Lithium Recovery from Geothermal Brine,ACS Sustainable Chemistry and Engineering,10.1021/acssuschemeng.0c08733,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",Table 1. Life Cycle Inventory of Producing 1 kg of LDHs ... Table S1 Life Cycle Inventory of Producing 1 liter of ~ 0.0194 wt.% LiCl Solution from Geothermal Brine.   …   Table S2/3,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5; USLCI,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",SimaPro version 9.0.0 has been used as the simulation software based on the Ecoinvent v3.5 database and U.S. Life Cycle Inventory Database (USLCI),SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
416,Comparison of Three Emerging Dross Recovery Processes in China's Aluminum Industry from the Perspective of Life Cycle Assessment,ACS Sustainable Chemistry and Engineering,10.1021/acssuschemeng.1c00960,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","Life cycle inventory data were from the average data of aluminum industries in China and calculation based on material balance. The electricity type in this study was coal based, which is in line with the actual situation of China’s aluminum industry. In addition, the environmental impact data were from the latest 3.6 version of the Ecoinvent database.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.6,NA,NA,n the LCA method in openLCA 1.10.3 software,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
417,How can LNG-fuelled ships meet decarbonisation targets? An environmental and economic analysis,Energy,10.1016/j.energy.2021.120462,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",2.1. Inventory assessment  A range of CO2 and methane emissions are derived using the probabilistic distributions for each stage of the supply chain in Balcombe et al. [14]. ...  Additional direct and indirect impacts associated with the natural gas supply chain are taken from the Ecoinvent 3.3 database [37].,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.3; NREL database; and various sources,"Direct presentation in the article (e.g., tables)","Yes, can access, download, and open the file. ","The study uses Gabi thinkstep life cycle assessment software for creation of mass, energy, and emissions balances, and Matlab for data analysis",Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
418,Comparison of GHG emissions and farmers’ profit of large-scale and individual farming in rice production across four regions of Thailand,Journal of Cleaner Production,10.1016/j.jclepro.2020.123945,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","The input inventory for rice cultivation of large-scale farming and individual farming are presented in Table 2, Table 3, respectively.  … The emissions factors were obtained from National Technical Committee on Product Carbon Footprinting (Thailand), 2011, The National Technical Committee on Product Carbon Footprinting Thailand, 2019, Thailand Greenhouse Gas Management Organization (Public organization) (TGO, 2014; TGO, 2016), and the Ecoinvent Centre (2015). The details are presented in the Supplementary Materials, Table S1. ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The Monte Carlo simulation Excel add-in software ModelRisk was used to run both the sensitivity and uncertainty analysis. ,Excel,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
419,"Catholyte-free electroreduction of CO2for sustainable production of CO: concept, process development, techno-economic analysis, and CO2reduction assessment",Green Chemistry,10.1039/d0gc02969f,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",The detailed equations and life cycle inventory parameters can be found in the ESI (section 6).†,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",for LCI:  the process models are established and simulated in the commercial process simulation software Aspen Plus.   No statement on LCA tool ,N/A,"No, no analysis script availability statement. ",NA,NA
420,Life cycle assessment and life cycle costing of multistorey building: Attributional and consequential perspectives,Building and Environment,10.1016/j.buildenv.2021.107836,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",Table 4. Inventory of hybrid multistory building – attributional approach.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5; and various sources,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Calculations were done with Simapro 8.5 and the impact method Impact 2002+ both mid and endpoint categories.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
421,Comparative life cycle assessment of bio-based insulation materials: Environmental and economic performances,GCB Bioenergy,10.1111/gcbb.12825,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",2.3 Life cycle inventory ,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ","The OpenLCA 1.8 software and the ecoinvent database 3.5 (Wernet et al., 2016) were used.",openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
422,Techno-economic and life cycle analyses of battery-assisted hydrogen production systems from photovoltaic power,Journal of Cleaner Production,10.1016/j.jclepro.2021.126809,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
423,Fluidised bed finishing process for aeronautical applications: Environmental and technical-economic assessment,Journal of Cleaner Production,10.1016/j.jclepro.2021.126900,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",Table 2. Input and output flow associated with the two finishing processes.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",No – there is no data availability statement,N/A,NA,NA, life cycle assessment (LCA) model was developed and successfully implemented in SimaPro v.7.1 software.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
424,Multi-criteria decision analysis using life cycle assessment and life cycle costing in circular building design: A case study for wall partitioning systems in the circular retrofit lab,Sustainability (Switzerland),10.3390/su13095124,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","To conduct this study, an inventory was provided by the authors working on the CRL for all the transformation scenarios and the partitioning solutions. ","Yes, primary LCI data are NOT available.  ",NA,No – there is no data availability statement,N/A,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
425,Multidisciplinary design optimization of distributed energy generation systems: The trade-offs between life cycle environmental and economic impacts,Applied Energy,10.1016/j.apenergy.2020.116197,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ","We used a process-based LCA approach. The life cycle emissions inventory includes greenhouse gases, carbon monoxide, ammonia, nitrogen oxides, particulate matter, sulfur dioxide, and volatile organic compounds. The impact inventory was from Ecoinvent 3 database [11] in Simapro 8 [5], [12].  ...  Table S7. Environmental impact inventory for system components.  ... Table S9. Inventory of 100kW ACAES (800kWh storage capacity).","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3,NA,"Yes, can access, download, and open the file. ",Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
426,Cost and carbon footprint reduction of electric vehicle lithium-ion batteries through efficient thermal management,Applied Energy,10.1016/j.apenergy.2021.116737,"Yes, environmental LCA + social and/or economic LCA on a defined functional unit   ",Table 2. Summary of inputs to the utilisation CF model for a compact EV installed with an NMC111/Gr battery pack.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
